User,TweetID,Date,Tweet Text,Compound Score,Positive Score,Negative Score,Neutal Score,Tweets Ago
nytimes,1023614173866012677,Sun Jul 29 17:00:11 +0000 2018,A Palestinian teenager jailed in Israel for kicking and slapping an Israeli soldier was released to a hero’s welcom… https://t.co/xPygRilTaF,-0.4939,0.0,0.158,0.842,1
nytimes,1023613493931663360,Sun Jul 29 16:57:29 +0000 2018,"Muslim children were repeatedly warned about their clothing at a Delaware pool, leading to a mayoral apology and a… https://t.co/Tiv8eKlsGu",-0.2263,0.062,0.109,0.829,2
nytimes,1023606634654908416,Sun Jul 29 16:30:14 +0000 2018,"“Seventeen years after 9/11, we still haven’t figured this out.” https://t.co/HImjaWhMHv",0.0,0.0,0.0,1.0,3
nytimes,1023602832816128000,Sun Jul 29 16:15:07 +0000 2018,"For some, a proposed cap on services like Uber is a civil rights issue. “Race-based refusal is a serious issue amon… https://t.co/S6kLiZjIFY",0.296,0.12,0.062,0.817,4
nytimes,1023599070148026369,Sun Jul 29 16:00:10 +0000 2018,Pressed at his 2006 hearing to express an opinion about whether the president could legally override the torture ba… https://t.co/7satPHbAvW,-0.5423,0.06,0.167,0.773,5
nytimes,1023595287837851648,Sun Jul 29 15:45:08 +0000 2018,The Trump pick to lead the EPA's Superfund toxic waste program was Dow Chemical's lawyer during its own disputed di… https://t.co/xjIS08Okg1,-0.6369,0.0,0.215,0.785,6
nytimes,1023591524376961025,Sun Jul 29 15:30:11 +0000 2018,"“So many people think they know me,” says Cynthia Nixon, the actress-turned-candidate for governor of New York, in… https://t.co/RUoaVUpx58",0.0,0.0,0.0,1.0,7
nytimes,1023587717295296513,Sun Jul 29 15:15:03 +0000 2018,"For more than 2 decades, Jeff Loeffelholz was an understudy in ""Chicago."" Then he killed himself. Now the productio… https://t.co/eC3e2WKliD",-0.6705,0.0,0.2,0.8,8
nytimes,1023587334799929346,Sun Jul 29 15:13:32 +0000 2018,"RT @NYTimesPR: Statement of A.G. Sulzberger, Publisher, The New York Times, in response to President Trump’s tweet about their meeting http…",0.0,0.0,0.0,1.0,9
nytimes,1023583968644481024,Sun Jul 29 15:00:10 +0000 2018,"When it gets cold in Bangkok, pet owners dress their dogs in sweatshirts or, if they have the money, Burberry rainc… https://t.co/hybxIR6iej",0.0,0.0,0.0,1.0,10
nytimes,1023581435863678976,Sun Jul 29 14:50:06 +0000 2018,"As millions of Venezuelans wage a daily fight for survival at home, others have found a safe haven for their money… https://t.co/dlKgR40AQQ",0.0772,0.123,0.111,0.766,11
nytimes,1023578915430916096,Sun Jul 29 14:40:05 +0000 2018,"The comedy-destroying, soul-affirming art of Hannah Gadsby https://t.co/YIc9W6GXex https://t.co/T2fOvaHR5J",0.0,0.0,0.0,1.0,12
nytimes,1023576416884064256,Sun Jul 29 14:30:09 +0000 2018,"These islands in the South Pacific are disappearing, but their inhabitants are doing everything they can to stay https://t.co/DAPrXjDrOt",0.0,0.0,0.0,1.0,13
nytimes,1023573889006403584,Sun Jul 29 14:20:06 +0000 2018,A 60-year-old man fatally shot his father and stepmother in a nursing home in Texas https://t.co/8r0CatQ3E1,-0.6369,0.0,0.244,0.756,14
nytimes,1023571358289145856,Sun Jul 29 14:10:03 +0000 2018,"Summer thrillers, a parody of smutty novels, a dark family memoir: Here are 10 new books we recommend this week https://t.co/BBboCB4D3F",0.3818,0.175,0.0,0.825,15
nytimes,1023567595730071553,Sun Jul 29 13:55:06 +0000 2018,"RT @nytimesbusiness: An undeveloped, 157-acre hilltop plot of land is about to go on sale in Los Angeles. The asking price: $1 billion. htt…",0.0,0.0,0.0,1.0,16
nytimes,1023561264965054465,Sun Jul 29 13:29:57 +0000 2018,"Some argue that comedy is broken. But Mike Birbiglia, Kate Berlant, Maria Bamford, Sacha Baron Cohen and Hannah Gad… https://t.co/4qufrZcz7H",-0.4588,0.1,0.22,0.68,17
nytimes,1023556773872066561,Sun Jul 29 13:12:06 +0000 2018,How to rekindle a friendship that has faded — and what to do if things don't go as you hoped https://t.co/IgsEpGPmYL,0.6705,0.244,0.0,0.756,18
nytimes,1023552474727231488,Sun Jul 29 12:55:01 +0000 2018,"After 18 months of bruising White House conflicts and bitter criticism, Jared Kushner and Ivanka Trump as comfortab… https://t.co/iWw0brStrR",-0.8074,0.0,0.342,0.658,19
nytimes,1023552286264647680,Sun Jul 29 12:54:16 +0000 2018,Bush Claimed Power to Override a Torture Ban. What Did Brett Kavanaugh Think About That? https://t.co/DRxTbZslMb,-0.8176,0.0,0.366,0.634,20
nytimes,1023468444753293312,Sun Jul 29 07:21:07 +0000 2018,"Bangkok Dispatch: Seeking ‘a Good Afterlife,’ and Not Just for Humans https://t.co/9pC6ggd2K6",0.4404,0.209,0.0,0.791,21
nytimes,1023468181049024512,Sun Jul 29 07:20:04 +0000 2018,Many gravely ill people often perk up right before dying. Nobody knows why. https://t.co/ieQVY9xqmi,-0.6486,0.0,0.306,0.694,22
nytimes,1023463559337070597,Sun Jul 29 07:01:42 +0000 2018,RT @NYTScience: Scott Pruitt's former deputy is now in charge at the EPA. He's taking a more disciplined approach to dismantling environmen…,0.0,0.0,0.0,1.0,23
nytimes,1023458892737589249,Sun Jul 29 06:43:09 +0000 2018,"RT @NYTSports: Missy Franklin, once the seemingly always exuberant girl so many predicted would be the next Michael Phelps, now finds herse…",0.5859,0.153,0.0,0.847,24
nytimes,1023454824363372544,Sun Jul 29 06:26:59 +0000 2018,"RT @matthew_ruby: ""It’s kind of like how snowboarding they coined the term frontside indy, which doesn’t exist in skateboarding, and it’s s…",0.2975,0.095,0.0,0.905,25
nytimes,1023450312860950528,Sun Jul 29 06:09:04 +0000 2018,Several key political parties in Pakistan are paving the way for Imran Khan to form a majority in the country's par… https://t.co/zLNJ7JbMMr,0.4019,0.119,0.0,0.881,26
nytimes,1023445337648898049,Sun Jul 29 05:49:17 +0000 2018,"RT @nytimesbooks: ""This month I’ve committed to only reading books about shipwrecks where people had to eat somebody."" https://t.co/QsCO4zW…",0.2732,0.104,0.0,0.896,27
nytimes,1023441159228665856,Sun Jul 29 05:32:41 +0000 2018,"Is it possible to be sexual, but to not be seen as an object? In her video “Girlfriend,” Héloïse Letissier — her bo… https://t.co/dJqG53Md4N",0.0,0.0,0.0,1.0,28
nytimes,1023436915813638144,Sun Jul 29 05:15:49 +0000 2018,"""For an hour on a weekend afternoon, I didn’t think of anything except the microcosmic forest in front of me"": Insi… https://t.co/vhKQZfjLuW",0.0,0.0,0.0,1.0,29
nytimes,1023432596355788802,Sun Jul 29 04:58:40 +0000 2018,RT @nytimesbusiness: It's called dark money for a reason: It's hard to trace. But millions of it were spent to kill the Affordable Care Act…,-0.4404,0.106,0.201,0.693,30
nytimes,1023428298624380928,Sun Jul 29 04:41:35 +0000 2018,"RT @nytopinion: ""The effect of Agent Orange on my children has broken my heart. One was born with a cleft palate and her jaw doesn’t line u…",-0.4767,0.0,0.11,0.89,31
